id|id_proyecto|tarea|horas|precio
1|1|pharetra ut, pharetra sed, hendrerit a, arcu.|3|56
2|2|mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus|6|78
3|3|sollicitudin adipiscing ligula. Aenean gravida nunc|10|24
4|4|risus. Donec nibh enim, gravida sit amet, dapibus id, blandit|2|87
5|5|Sed eget lacus. Mauris non|5|79
6|6|sociis natoque penatibus et magnis dis parturient montes,|2|45
7|7|Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque|7|15
8|8|pede sagittis augue, eu tempor erat neque|9|87
9|9|amet ante. Vivamus non lorem vitae odio sagittis semper.|4|66
10|10|ultricies adipiscing, enim mi tempor lorem,|4|42
11|11|erat. Vivamus nisi. Mauris nulla. Integer|6|26
12|12|tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed|1|96
13|13|mi lorem, vehicula et, rutrum eu, ultrices sit amet, risus.|8|48
14|14|porta elit, a feugiat tellus|9|19
15|15|Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci,|2|34
16|16|risus. Nulla eget metus eu erat|2|17
17|17|in molestie tortor nibh sit|8|40
18|18|semper cursus. Integer mollis. Integer tincidunt aliquam|7|61
19|19|Sed eget lacus. Mauris non dui nec|8|39
20|20|elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis|3|77
21|21|Integer aliquam adipiscing lacus. Ut nec|2|50
22|22|nec, leo. Morbi neque tellus, imperdiet non, vestibulum nec, euismod|6|72
23|23|quam dignissim pharetra. Nam ac nulla. In|10|72
24|24|cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices|8|92
25|25|magna sed dui. Fusce aliquam, enim nec tempus|3|93
26|26|Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus|5|100
27|27|orci luctus et ultrices posuere|4|13
28|28|lobortis tellus justo sit amet|8|38
29|29|nibh dolor, nonummy ac, feugiat non, lobortis quis,|8|50
30|30|auctor non, feugiat nec, diam. Duis mi enim, condimentum eget,|2|41
31|31|amet risus. Donec egestas. Aliquam|1|80
32|32|elit erat vitae risus. Duis a|7|76
33|33|mi felis, adipiscing fringilla, porttitor vulputate,|7|83
34|34|consequat dolor vitae dolor. Donec fringilla. Donec feugiat metus sit|9|13
35|35|Donec fringilla. Donec feugiat metus sit amet|1|43
36|36|senectus et netus et malesuada fames ac turpis egestas.|7|40
37|37|bibendum. Donec felis orci, adipiscing non, luctus sit amet,|8|76
